57357,Alexandra Rose Raisman,Female,157.48,52,https://healthyceleb.com/aly-raisman-height-weight-body-statistics/57357
122333,Fernando Luiz Roza,Male,177.80,72,https://healthyceleb.com/fernandinho-footballer-born-may-1985-height-weight-age-body-statistics/122333
118851,Ederson Santana de Moraes,Male,187.96,83,https://healthyceleb.com/ederson-moraes-height-weight-age-body-statistics/118851
119341,Nicolás Hernán Gonzalo Otamendi,Male,180.98,74,https://healthyceleb.com/nicolas-otamendi-height-weight-age-body-statistics/119341
119692,Sergej Milinković-Savić,Male,191.77,76,https://healthyceleb.com/sergej-milinkovic-savic-height-weight-age-body-statistics/119692
117077,Ciro Immobile,Male,185.42,72,https://healthyceleb.com/ciro-immobile-height-weight-age-body-statistics/117077
118817,Fabian Delph,Male,175.26,67,https://healthyceleb.com/fabian-delph-height-weight-age-body-statistics/118817
119745,Rodrigo Bentancur Colmán,Male,187.96,73,https://healthyceleb.com/rodrigo-bentancur-height-weight-age-body-statistics/119745
118387,Aymeric Jean Louis Gerard Alphonse Laporte,Male,190.50,82,https://healthyceleb.com/aymeric-laporte-height-weight-age-body-statistics/118387
117063,Callum Eddie Graham Wilson,Male,180.34,72,https://healthyceleb.com/callum-wilson-english-footballer-height-weight-age-body-statistics/117063
117066,Stephan Kareem El Shaarawy,Male,177.80,72,https://healthyceleb.com/stephan-el-shaarawy-height-weight-age-body-statistics/117066
118391,Alex Sandro Lobo Silva,Male,180.34,70,https://healthyceleb.com/alex-sandro-height-weight-age-body-statistics/118391
117298,Khabib Abdulmanapovich Nurmagomedov,Male,177.80,70,https://healthyceleb.com/khabib-nurmagomedov-height-weight-age-body-statistics/117298
120352,Lonzo Anderson Ball,Male,195.58,95,https://healthyceleb.com/lonzo-ball-height-weight-age-body-statistics/120352
121101,Ross Barkley,Male,185.42,86,https://healthyceleb.com/ross-barkley-height-weight-age-body-statistics/121101
121956,Stephen James Hendry,Male,185.42,84,https://healthyceleb.com/stephen-james-model-height-weight-age-body-statistics/121956
121971,Memphis Depay,Male,175.90,78,https://healthyceleb.com/memphis-depay-height-weight-age-body-statistics/121971
116960,Jenson Alexander Lyons Button,Male,182.88,76,https://healthyceleb.com/jenson-button-height-weight-age-body-statistics/116960
116878,Giovanni Pablo Simeone Baldini,Male,180.34,68,https://healthyceleb.com/giovanni-simeone-height-weight-age-body-statistics/116878
116826,Nabil Fekir,Male,172.72,72,https://healthyceleb.com/nabil-fekir-height-weight-age-body-statistics/116826
121963,İlkay Gündoğan,Male,179.71,78,https://healthyceleb.com/ilkay-gundogan-height-weight-age-body-statistics/121963
110930,Shkodran Mustafi,Male,184.15,73,https://healthyceleb.com/shkodran-mustafi-height-weight-age-body-statistics/110930
111067,LaMelo LaFrance Ball,Male,198.12,76,https://healthyceleb.com/lamelo-ball-height-weight-age-body-statistics/111067
111025,Dimitri Payet,Male,175.26,76,https://healthyceleb.com/dimitri-payet-height-weight-age-body-statistics/111025
111921,Radja Nainggolan,Male,176.53,71,https://healthyceleb.com/radja-nainggolan-height-weight-age-body-statistics/111921
113344,Adama Traoré Diarra,Male,177.80,76,https://healthyceleb.com/adama-traore-footballer-born-1996-height-weight-age-body-statistics/113344
112690,Steven N’Kemboanza Mike Nzonzi,Male,195.58,83,https://healthyceleb.com/steven-nzonzi-height-weight-age-body-statistics/112690
116541,Gegard Mousasi,Male,185.42,84,https://healthyceleb.com/gegard-mousasi-height-weight-age-body-statistics/116541
113518,Patrick Cutrone,Male,184.15,75,https://healthyceleb.com/patrick-cutrone-height-weight-age-body-statistics/113518
113979,Franck Yannick Kessié,Male,182.88,82,https://healthyceleb.com/franck-kessie-height-weight-age-body-statistics/113979
114026,Rashid Khan Arman,Male,167.64,67,https://healthyceleb.com/rashid-khan-cricketer-height-weight-age-body-statistics/114026
113685,Kevin De Bruyne,Male,180.98,73,https://healthyceleb.com/kevin-de-bruyne-height-weight-age-body-statistics/113685
114283,Ryan Fraser,Male,162.56,67,https://healthyceleb.com/ryan-fraser-height-weight-age-body-statistics/114283
114110,James Daniel Maddison,Male,175.26,73,https://healthyceleb.com/james-maddison-height-weight-age-body-statistics/114110
114153,Michy Batshuayi-Atunga,Male,185.42,84,https://healthyceleb.com/michy-batshuayi-height-weight-age-body-statistics/114153
115547,Georginio Gregion Emile Wijnaldum,Male,175.26,70,https://healthyceleb.com/georginio-wijnaldum-height-weight-age-body-statistics/115547
114574,Julian Draxler,Male,185.42,72,https://healthyceleb.com/julian-draxler-height-weight-age-body-statistics/114574
115325,Marc Kevin Albrighton,Male,175.26,67,https://healthyceleb.com/marc-albrighton-height-weight-age-body-statistics/115325
116887,Giovani Lo Celso,Male,177.17,68,https://healthyceleb.com/giovani-lo-celso-height-weight-age-body-statistics/116887
115594,Granit Xhaka,Male,182.88,70,https://healthyceleb.com/granit-xhaka-height-weight-age-body-statistics/115594
116542,Tyler Gregory Eifert,Male,198.12,116,https://healthyceleb.com/tyler-eifert-height-weight-age-body-statistics/116542
110915,Luis Alberto Romero Alconchel,Male,182.25,75,https://healthyceleb.com/luis-alberto-footballer-born-1992-height-weight-age-body-statistics/110915
108364,Florian Kohler,Male,177.80,66,https://healthyceleb.com/florian-kohler-height-weight-age-body-statistics/108364
107962,Alexander Chuka Iwobi,Male,185.42,75,https://healthyceleb.com/alex-iwobi-height-weight-age-body-statistics/107962
107771,Marko Arnautovic,Male,191.77,83,https://healthyceleb.com/marko-arnautovic-height-weight-age-body-statistics/107771
108663,Lorenzo Insigne,Male,162.56,64,https://healthyceleb.com/lorenzo-insigne-height-weight-age-body-statistics/108663
108828,Javier Matías Pastore,Male,186.69,78,https://healthyceleb.com/javier-pastore-height-weight-age-body-statistics/108828
108874,Dazet Wilfried Armel Zaha,Male,180.34,66,https://healthyceleb.com/wilfried-zaha-height-weight-age-body-statistics/108874
108766,Lance Stephenson Jr.,Male,198.12,104,https://healthyceleb.com/lance-stephenson-height-weight-age-body-statistics/108766
108935,Roberto Maximiliano Pereyra,Male,182.25,75,https://healthyceleb.com/roberto-pereyra-height-weight-age-body-statistics/108935
110251,Axel Laurent Angel Lambert Witsel,Male,186.06,80,https://healthyceleb.com/axel-witsel-height-weight-age-body-statistics/110251
110218,Diego Sebastián Schwartzman,Male,170.18,65,https://healthyceleb.com/diego-schwartzman-height-weight-age-body-statistics/110218
110359,Piotr Sebastian Zieliński,Male,177.80,68,https://healthyceleb.com/piotr-zielinski-height-weight-age-body-statistics/110359
109994,Cody Ray Allen Garbrandt,Male,172.09,61,https://healthyceleb.com/cody-garbrandt-height-weight-age-body-statistics/109994
109751,Dominick Rojelio Cruz,Male,172.72,61,https://healthyceleb.com/dominick-cruz-height-weight-age-body-statistics/109751
109562,Jerome Max Keliʻi Holloway,Male,180.34,66,https://healthyceleb.com/max-holloway-height-weight-age-body-statistics/109562
110265,Aleksandar Mitrović,Male,187.96,87,https://healthyceleb.com/aleksandar-mitrovic-footballer-height-weight-age-body-statistics/110265
110274,Konstantinos Manolas,Male,189.23,85,https://healthyceleb.com/kostas-manolas-height-weight-age-body-statistics/110274
110376,Jean Michaël Seri,Male,167.64,65,https://healthyceleb.com/jean-michael-seri-height-weight-age-body-statistics/110376
107946,Pedro Eliezer Rodríguez Ledesma,Male,168.91,66,https://healthyceleb.com/pedro-footballer-b-1987-height-weight-age-body-statistics/107946
101080,Aleksandar Kolarov,Male,186.69,80,https://healthyceleb.com/aleksandar-kolarov-height-weight-age-body-statistics/101080
101982,Hardik Himanshu Pandya,Male,182.88,70,https://healthyceleb.com/hardik-pandya-height-weight-age-body-statistics/101982
102965,Andre Jamal Drummond,Male,208.28,127,https://healthyceleb.com/andre-drummond-height-weight-age-body-statistics/102965
103007,Deontay Leshun Wilder,Male,200.03,103,https://healthyceleb.com/deontay-wilder-height-weight-age-body-statistics/103007
105371,Peter James Crouch,Male,201.93,75,https://healthyceleb.com/peter-crouch-height-weight-age-body-statistics/105371
104812,Daniel James Amendola,Male,180.34,77,https://healthyceleb.com/danny-amendola-height-weight-age-body-statistics/104812
106185,Benjamin Mendy,Male,182.88,85,https://healthyceleb.com/benjamin-mendy-height-weight-age-body-statistics/106185
106321,Jorge Luiz Frello Filho,Male,180.34,71,https://healthyceleb.com/jorginho-footballer-born-1991-height-weight-age-body-statistics/106321
106307,Richarlison de Andrade,Male,179.07,71,https://healthyceleb.com/richarlison-height-weight-age-body-statistics/106307
106274,Bernardo Mota Veiga de Carvalho e Silva,Male,172.72,64,https://healthyceleb.com/bernardo-silva-height-weight-age-body-statistics/106274
105998,Jason Belmonte,Male,177.80,74,https://healthyceleb.com/jason-belmonte-height-weight-age-body-statistics/105998
106444,Rúben Diogo da Silva Neves,Male,180.34,76,https://healthyceleb.com/ruben-neves-height-weight-age-body-statistics/106444
106591,Sébastien Olivier Buemi,Male,177.17,69,https://healthyceleb.com/sebastien-buemi-height-weight-age-body-statistics/106591
107168,Dries Mertens,Male,168.91,58,https://healthyceleb.com/dries-mertens-height-weight-age-body-statistics/107168
107601,Marcos Alonso Mendoza,Male,187.96,85,https://healthyceleb.com/marcos-alonso-mendoza-height-weight-age-body-statistics/107601
106633,Daniel Cormier,Male,177.17,112,https://healthyceleb.com/daniel-cormier-height-weight-age-body-statistics/106633
100557,Corentin Tolisso,Male,180.34,78,https://healthyceleb.com/corentin-tolisso-height-weight-age-body-statistics/100557
98969,Bamidele Jermaine Alli,Male,187.96,78,https://healthyceleb.com/dele-alli-height-weight-age-body-statistics/98969
99092,Jordan Brian Henderson,Male,186.69,78,https://healthyceleb.com/jordan-henderson-height-weight-age-body-statistics/99092
98377,Ousmane Dembélé,Male,177.80,73,https://healthyceleb.com/ousmane-dembele-height-weight-age-body-statistics/98377
99933,John Stones,Male,187.96,74,https://healthyceleb.com/john-stones-height-weight-age-body-statistics/99933
99377,Virgil van Dijk,Male,193.04,92,https://healthyceleb.com/virgil-van-dijk-height-weight-age-body-statistics/99377
100353,Kyle Andrew Walker,Male,177.80,73,https://healthyceleb.com/kyle-walker-height-weight-age-body-statistics/100353
99845,Mick Schumacher,Male,173.99,68,https://healthyceleb.com/mick-schumacher-height-weight-age-body-statistics/99845
99716,Héctor Bellerín Moruno,Male,177.80,74,https://healthyceleb.com/hector-bellerin-height-weight-age-body-statistics/99716
100687,Joe Thomas Barrett IV,Male,187.96,100,https://healthyceleb.com/j-t-barrett-height-weight-age-body-statistics/100687
100446,Adam David Lallana,Male,172.09,72,https://healthyceleb.com/adam-lallana-height-weight-age-body-statistics/100446
100356,Ashley Simon Young,Male,175.26,68,https://healthyceleb.com/ashley-young-height-weight-age-body-statistics/100356
98390,Mario Mandžukic,Male,189.87,85,https://healthyceleb.com/mario-mandzukic-height-weight-age-body-statistics/98390
100409,Kieran John Trippier,Male,172.72,70,https://healthyceleb.com/kieran-trippier-height-weight-age-body-statistics/100409
100777,Benjamin Pavard,Male,185.42,78,https://healthyceleb.com/benjamin-pavard-height-weight-age-body-statistics/100777
100804,Aleksandr Sergeyevich Golovin,Male,177.80,70,https://healthyceleb.com/aleksandr-golovin-footballer-height-weight-age-body-statistics/100804
100528,Hugo Lloris,Male,187.96,78,https://healthyceleb.com/hugo-lloris-height-weight-age-body-statistics/100528
100730,Sebastian Vettel,Male,175.26,68,https://healthyceleb.com/sebastian-vettel-height-weight-age-body-statistics/100730
100582,Enes Kanter,Male,210.82,111,https://healthyceleb.com/enes-kanter-height-weight-age-body-statistics/100582
107183,Lucas Rodrigues Moura da Silva,Male,172.72,70,https://healthyceleb.com/lucas-moura-height-weight-age-body-statistics/107183
109524,Raphael O. Assunção,Male,165.10,65,https://healthyceleb.com/raphael-assuncao-height-weight-age-body-statistics/109524
99308,Igor Vladimirovich Akinfeev,Male,185.42,76,https://healthyceleb.com/igor-akinfeev-height-weight-age-body-statistics/99308
109563,Sergio Jerome Pettis,Male,167.64,57,https://healthyceleb.com/sergio-pettis-height-weight-age-body-statistics/109563
109561,Demetrious Khrisna Johnson,Male,160.02,57,https://healthyceleb.com/demetrious-johnson-fighter-height-weight-age-body-statistics/109561
106631,Tyler Jeffery Dillashaw,Male,168.91,61,https://healthyceleb.com/t-j-dillashaw-height-weight-age-body-statistics/106631
